id,context,utterance,implicature,implicature2
96,Want to go to the park?,I don't have time at the moment.,0,No
97,Will you have to share the flat with anyone?,I'm excited to live on my own.,0,No
99,Do you have any kids?,My daughter just turned six.,1,Yes
100,did you enjoy the sushi bar?,I want to eat there more often.,1,Yes
101,Did you enjoy reading non-fiction books in school?,I preferred fiction,0,No
102,Do you often listen to pop music?,I prefer jazz.,0,No
103,Do you like novels based in World War 2?,I love any war novels.,1,Yes
104,Do your remember our block fondly?,I enjoyed living there,1,Yes
105,Do you prefer being indoors?,When it's wet outside.,1,Yes
106,Do you have a degree for your current job?,"I have a degree in the arts, so it's relative.",1,Yes
107,Want to grab a drink?,Let's do happy hour.,1,Yes
108,Do you have a library card?,I do.,1,Yes
109,Do you prefer happy endings?,I can only handle good endings.,1,Yes
110,Is it in a safe area?,The neighborhood doesn't see much crime.,1,Yes
111,Do you like buffets?,I always want all-you-can-eat.,1,Yes
112,Will you be at work tomorrow?,I never work on weekends.,0,No
114,Do you want to grab some food?,If we go to a vegetarian place.,1,Yes
116,Do you like being creative?,I like to draw.,1,Yes
117,Want to live in a more affordable area of town?,I would like something a little cheaper.,1,Yes
118,Does it feel strange to see me again?,It's weird.,1,Yes
119,Do you own a pet?,My dog is my best friend.,1,Yes
120,Do you want to look through the museum?,Can we go to the park instead?,0,No
121,Do you like your supervisor?,He's been pretty nice.,1,Yes
122,Want to work for another company?,I want to start my own business.,0,No
123,Would you be interested in buying a loft?,If I could afford it.,1,Yes
124,Do you sing?,I only sing if I want to make dogs bark.,1,Yes
125,Do you like going to gigs?,Only when someone I know is playing.,1,Yes
126,Wanna go for some Chinese food?,If we can share a couple of entrees.,1,Yes
127,Are your parents still living in your childhood house?,They moved last year,0,No
128,Do you have a limit of what you want to pay?,"Three hundred dollars maximum,",1,Yes
129,Are you a fan of the Harry Potter series?,I wouldn't say that,0,No
130,Are you in any weekend leisure sports teams?,I'm in a city volleyball league.,1,Yes
131,Would you like to go to the movies tonight?,I'm open to it.,1,Yes
132,Are you going out tonight?,I am not,0,No
133,Have you gone by to see your old house?,I saw they tore it down.,1,Yes
134,Do you enjoy sports?,Only team sports.,1,Yes
135,Do you like arts and crafts?,It's my favorite pastime.,1,Yes
136,Do you still play piano?,I became a professional.,1,Yes
137,D you have plans for later?,My slate is full for my whole visit here.,1,Yes
138,Do you like vegan food?,I always feel good about plant based.,1,Yes
139,Want to go see a movie?,I'm down.,1,Yes
140,Have you stayed in contact with any of our other friends?,There are a few a speak to online.,1,Yes
141,Are you willing to do any contract work?,If the pay is high enough.,1,Yes
142,Is reggae your thing?,Bob Marley is my favorite artist.,1,Yes
143,Do you like short stories?,I prefer a long book.,0,No
144,Do you plan to see your friend during this visit?,I hope I see them,1,Yes
145,Want to grab something to eat?,Let's get tacos.,1,Yes
146,Would you like a building with a doorman?,That would be nice,1,Yes
147,Do you like illustrations?,Pictures make a book more interesting.,1,Yes
148,Are you into non-fiction?,I enjoy true stories.,1,Yes
149,Want to go get a drink??,I want to have 3 drinks.,1,Yes
150,Are you an avid reader?,I read constantly.,1,Yes
151,Do you mind seafood?,I'm in the mood for crab legs.,0,No
152,Do you have any pets?,My cat just turned one year old.,1,Yes
153,Are you meeting everyone at the bar?,I believe so,1,Yes
154,Do you like eating fast food?,I do not eat fast food.,0,No
155,Do you want to go to the mall?,I hate shopping.,0,No
156,Would you want to go to see Garth Brooks tomorrow?,that would bencie,1,Yes
157,Are you a pescatarian?,Most of the time I don't eat any fish or meat.,0,No
158,Do you still play guitar?,I ended up selling my guitar to pay for textbooks.,0,No
159,Do you like mysteries?,I only read them once in a while.,1,Yes
160,Do like readers digest?,I've never gotten into them.,0,No
161,Have you lived here very long?,I moved in 6 months ago.,0,No
162,Do you want a new challenge?,A challenge would be great.,1,Yes
163,Do you want to go sightseeing this weekend?,That would be nice,1,Yes
164,Are you working nearby?,I work in this building.,1,Yes
165,Does it feel strange to see me again?,If feels great to see you again.,0,No
166,Is it the end of the day already?,It's hard to believe.,1,Yes
167,Are you into fiction?,I really am,1,Yes
168,Want to see a sports game?,If we can see the Rockets play.,1,Yes
169,Do you have a date?,I have a date with my wife.,1,Yes
170,Do you like heavier music?,I am not a fan,0,No
171,Do you like food served at fast food restaurants?,I prefer salads.,0,No
172,Are you into the outdoors?,I prefer it to being indoors,1,Yes
173,Do you like books about astrology?,I don't believe in that stuff.,0,No
174,Are you thinking of moving soon?,I want to move by the end of the year.,1,Yes
175,Are you open to having roommates?,I will need the extra cash.,1,Yes
176,Are you into novels with a complicated plot?,I like something simple.,0,No
177,Do you like concerts?,It depends on who's playing.,1,Yes
178,Are you a fan of foreign food?,It depends on where it's from.,1,Yes
179,Is your family going skiing this weekend?,If the kids get over their colds.,1,Yes
180,Do you have plans for this evening?,Not unless my friend answers my text.,1,Yes
181,Are you comfortable with a busy city?,I can handle it.,1,Yes
182,Are you a fan of pop music?,I definitely am,1,Yes
183,Do you like to go shopping?,I don't have a lot of spare cash.,0,No
184,Do you get along with everyone on this street?,almost everyone.,1,Yes
185,Do you eat out for the weekends?,It depends on whether I have any spare cash.,1,Yes
186,Are you doing something fun this weekend?,We're going to the zoo.,1,Yes
187,Do you like Chinese food?,I prefer Thai.,0,No
188,Do you like spacious apartments?,I think it's great,1,Yes
189,Would you like something more exotic?,I think I might,1,Yes
190,Can you afford the expensive rent?,I have plenty of cash to keep me going for a while.,1,Yes
192,Are you going to see Elton John's farewell tour?,I think I'll watch the DVD when it comes out.,0,No
193,Do you get on with your current colleagues?,My coworkers and I get along pretty well.,1,Yes
194,Do you like tex-mex food?,I prefer Japanese.,0,No
195,Does your mom still make those delicious chocolate chip cookies?,She started a business selling them.,1,Yes
196,Have you been to that new restaurant?,I've been really busy lately.,0,No
197,Can you show proof of income?,I should be able to,1,Yes
198,Did you sleep on your way here?,The flight was too noisy.,0,No
199,Do you listen to Country music?,Not at all.,0,No
200,Is everything good with you?,I've been very ill.,0,No
201,Would you like to exchange numbers?,I'll get my contacts open here.,1,Yes
202,Have you lived in this area long?,Several of my neighbors remember me in diapers.,1,Yes
203,Are you going to the high school football game tonight?,I'd rather do anything else.,0,No
204,Got anything going on on Saturday?,I am planting the garden.,1,Yes
205,Do you usually have to work late?,Often I find myself the last one at work.,1,Yes
206,Do you listen to classical music?,I'm not a fan,0,No
207,Have you taken any big vacations lately?,I went to Europe for 3 weeks last fall.,1,Yes
208,Would you like to pet my dog?,I am allergic.,0,No
209,Have you seen my new place before?,I haven't ever seen it,0,No
210,Do you work near by?,We work together.,1,Yes
212,Are you looking to meet people?,I'm happy on my own.,0,No
213,How about some pancakes?,I had some yesterday.,0,No
214,Have you been to the cinema lately?,I haven't been for a few weeks,0,No
215,Have you ever ready Stephen King books?,I read The Shining when I was a teen.,1,Yes
216,Do you like buffets?,I can never eat that much.,0,No
217,Want to go to the library to browse?,More than you know.,1,Yes
218,Do you have five years of experience?,Only three.,0,No
219,Are you into biographies?,When it's autobiography.,1,Yes
220,Are you eligible for promotion?,I won't be for another six months.,0,No
221,Do you listen to new music every Friday?,I listen to the radio daily.,1,Yes
222,Do you read everyday?,Depends how busy my job is.,1,Yes
224,Do you like horror movies?,Oh I love scary movies.,1,Yes
225,Are you a history fan?,Only of Eurasian history.,1,Yes
226,Do you like the neighborhood so far,I think its great,1,Yes
227,Have you continued doing sports?,Only when I have the time,1,Yes
228,do you want to go swimming?,I'd rather go skating.,0,No
229,Want to go see a musical?,If it has good reviews.,1,Yes
230,Can it have a heavy bass?,I love the thud thud of music.,1,Yes
231,Do you want a new challenge?,I've been so bored t work.,1,Yes
232,Are you relieved to get some time away?,It feels great!,1,Yes
233,Would you be into eating at a diner with burgers?,I want to get a salad.,0,No
234,Do you play football on weekends?,I gave that up.,0,No
235,Do you enjoy seafood?,I like crab and lobster.,1,Yes
236,Want to grab a coffee one of these days?,How about a beer?,0,No
237,Do you follow the local sports teams?,I do have a team I follow,1,Yes
238,Are you entering the christmas parade?,I've got no plans to do so.,0,No
239,Have you been to the new bar in the neighborhood?,It depends on which one.,1,Yes
240,Ever read any Russian literature?,It always seemed to hard to read.,0,No
241,Do you read alot?,I try to read every evening.,1,Yes
242,Is it stressful all the time?,it is very rarely stressful,0,No
243,Will you be joining any book clubs?,If I can find one that meets on weekends.,1,Yes
244,Do you enjoy mowing the lawn?,It's very zen.,1,Yes
245,Have you been to a book reading lately?,I prefer to read novels in the comfort of my own home.,0,No
246,Do you work close?,Quite close,1,Yes
247,Have you read Stephen King?,His writing is too scary for me.,0,No
248,Have you started looking yet?,I'll look when we arrive.,0,No
249,Do you want to catch a Christmas movie later?,I hope it is funny.,1,Yes
250,Will you be the head of your department?,That position has been filled.,0,No
251,Have you heard about the new outdoor music festival?,I haven't heard a thing,0,No
252,Do you see any of our old friends?,I haven't seen anyone else yet.,0,No
253,Do you prefer to relax on the weekends?,I pack my weekends with activities.,0,No
254,Do you read science type books?,In school I need to read them.,1,Yes
255,Can you show proof of income?,I haven't gotten a job there yet.,0,No
256,Are you free this weekend?,I have a full weekend.,0,No
257,Are you still living in the same house?,There are condos where the house was now.,0,No
258,Are you going to see family this weekend?,They are coming here instead.,1,Yes
259,Are you into trying new foods?,I love trying new cuisines.,1,Yes
260,Are you still in contact with the other neighbors?,some of them I am,1,Yes
263,Are you getting a flat in the city?,I can only afford New Jersey.,0,No
264,Will you be going out at the weekend ?,I'm headed out to the slopes.,1,Yes
265,Are you dating anyone right now?,I have been married for several years.,0,No
266,Are you ready for the weekend?,I certainly am,1,Yes
267,Were you inside most of the day?,I do deliveries once a day.,1,Yes
268,Did you listen to the new Taylor Swift album?,I'm not a fan of her,0,No
269,Do you have any formal musical training?,I went to London College of Music.,1,Yes
270,Did you hear about that popular band  coming to town?,I haven't seen anything.,0,No
271,Are community gatherings important?,I don't usually go to them.,0,No
272,Are you doing well?,Life is really good.,1,Yes
273,Do you want a new challenge?,I was getting a little stale.,1,Yes
274,Does your house have a swimming pool?,Our house is very small and bijou.,0,No
275,Are you enjoying living here?,It has been an enjoyable experience so far,1,Yes
276,Are you into any sci-fi movies?,Only some of them,1,Yes
277,Do you want to get together tomorrow?,If I don't have to take my kids to soccer practice.,1,Yes
278,Did you enjoy reading non-fiction books in school?,It was more fun to read fiction.,0,No
279,Do you still live with your parents?,They moved.,0,No
280,Would  you  like to see the sights?,I would love to,1,Yes
281,Do you want to play some videogames?,I have epilepsy and can't look at rapidly moving graphics.,0,No
282,Will you be in tomorrow?,I don't come back till next week.,0,No
283,Are you enjoying the neighborhood?,It seems nice so far,1,Yes
284,Are you interested in politics?,I hate politics.,0,No
285,Are you going out this weekend?,I'm going out of town.,1,Yes
286,Would you be interested in seeing a comedy show?,I love comedy.,1,Yes
287,Do you like American style cuisine?,I like burgers.,1,Yes
288,Are you concerned about your salary?,It's way too low.,1,Yes
289,Do you have any plans this weekend?,I need to buy a car.,1,Yes
290,Do you have any kids?,"With such over-population, I made a conscientious choice to not add to the problem.",0,No
291,Are you planning on walking to work?,I bought a bike.,0,No
292,Do you enjoy drum solos?,When someone's a master.,1,Yes
293,Is New York your only option?,There is also an opening in Boston.,0,No
294,Did you look at what's out there?,I had a peek,1,Yes
295,Do you like going to movies?,It's one of my hobbies,1,Yes
296,Do you play the piano?,I took lessons in college.,1,Yes
297,Are you watching any new TV shows?,I've been bingeing Mrs. Maisel.,1,Yes
298,Can you swim?,I swim like a fish.,1,Yes
299,Do you get promoted often?,I've only moved up once since I've been there.,0,No
300,Is live music something you enjoy?,I love concerts.,1,Yes
301,Did you figure out the commute times to work from different boroughs?,I still need to do those calculations.,0,No
302,Do you want large portions?,When I'm super hungry.,1,Yes
303,Would you like more benefits from your job?,I could use more dental coverage.,1,Yes
304,Do you like working the production line?,"I find it gratifying,",1,Yes
305,Do you like ethnic food?,I like anything from another country.,1,Yes
306,Are you eligible for promotion?,I'm at the top level.,0,No
307,Are you willing to live by yourself?,If I can afford it.,1,Yes
308,do you have any places in mind you want to go?,I really want to see the newest art exhibitions.,1,Yes
309,Do you read murder mystery?,I prefer fantasy novels.,0,No
310,Are you a traveler?,I've never been outside the state of Virginia.,0,No
311,Do you like to take some time for yourself on the weekends?,It's important to me.,1,Yes
312,Have you eaten Oven Fired Pizza?,I had some when I visited New York.,1,Yes
313,Are you into art and culture?,I have an interest in it,1,Yes
314,Do you want to go for brunch tomorrow?,I would love to try something new.,1,Yes
315,Do you like to have family in town?,It's nice having them nearby.,1,Yes
316,Do you want to walk to the bus stop together?,That would be nice.,1,Yes
317,Do you get bored at your current job?,I spend a lot of time looking out of the window whilst at work.,1,Yes
318,Do you enjoy the theater?,I love live performances.,1,Yes
319,Is reggae your thing?,It's good music for chilling in the summer.,1,Yes
320,Have you seen that new movie?,I have not.,0,No
321,Do you like reggaeton music?,It gives me a headache.,0,No
322,Did you research the pros and cons?,I've had a lot of advice.,1,Yes
323,Did you have a favorite teacher when you where in elementary school?,I had a few that I liked,1,Yes
324,Do you eat organic foods?,Only when I can afford them.,1,Yes
325,Do you enjoy eating spicy food?,It upsets my stomach.,0,No
326,Have you lived in New York before?,I've lived in three borroughs.,1,Yes
327,Have you ever had allergies to food?,I only have allergies to bee stings.,0,No
328,Have you ever tried a job outdoors?,I have never done that,0,No
329,Do you want to live close to a subway stop?,That's a given.,1,Yes
330,Are you lactose intolerant?,I can only eat dairy sparingly.,1,Yes
331,Have you traveled out of the country?,We travel frequently.,1,Yes
333,Ready for the weekend?,We're going to my mom's house.,1,Yes
334,Do you have your keys?,I forgot them upstairs.,0,No
335,Do you have kids already?,I'm kid free at the moment,0,No
336,Do you want to hang out later?,I could do with a stiff drink.,1,Yes
337,Have you been living here?,I've been here a few months,1,Yes
338,Would you want to go for a walk downtown?,I think I need a nap first.,1,Yes
339,Are you spending time with friends or family over the weekend?,I have too much work to do.,0,No
340,Have you got a salary in mind?,I'm fairly flexible.,0,No
341,Are you thinking about moving to New York permanently ?,I don't want to retire there.,0,No
342,Do you like to eat spicy food ?,I'd prefer not to,0,No
343,Have you ever been to a rock concert?,I go to one once a week.,1,Yes
344,Have you heard of any local restaurants?,I'm sure you'll point us in the right direction.,0,No
345,Do you work in town?,I work at the city high school.,1,Yes
346,Do you like modern literature?,The only genre I don't really like is true crime.,1,Yes
347,Have you been to a musical/opera?,I prefer ballet.,0,No
348,Is it close to your house?,It's a short commute.,1,Yes
349,Do you spend your time behind a computer screen?,I spend 10 hours a day at my computer.,1,Yes
350,Did you have nice bosses?,My superiors were not the best people to work for.,0,No
351,Can I buy you a drink?,I am not stopping you.,1,Yes
352,Do you watch sports?,Only when my brother is in town.,1,Yes
353,Do you want a place close to home?,I don't want to go out.,0,No
354,Have you gone to a concert recently?,I think the last one was around 5 years ago.,0,No
355,Do you want to meet some of my friends?,I need new friends.,1,Yes
357,Do you mind a long subway ride?,Riding the subway gives me a chance to read more.,0,No
358,Have you been to a concert recently?,Laurie Anderson was fantastic.,1,Yes
359,Are you doing anything fun tonight?,I'm going to hit the hay early.,0,No
360,Do you have a favorite singer?,I prefer groups.,0,No
361,Do you have friends or family in New York?,Most of my friends live there.,1,Yes
362,Do you want to look through the museum?,Let's check out the ancient Egypt exhibit.,1,Yes
363,Do you make art?,I took some watercolor classes in high school.,1,Yes
364,Does it have two bedrooms?,It's a studio.,0,No
365,Will you be going out at the weekend ?,Probably just going to stay home and relax.,0,No
366,Would you ever be willing to volunteer?,That's a terrible idea.,0,No
367,Is a basement flat okay?,I need to be above ground.,0,No
368,Will you be watching that new drama this evening?,If it's available on netlfix.,1,Yes
369,Would you like to go out for a drink?,Let's go to your favorite bar.,1,Yes
370,Is it in the same industry?,I'm moving on to something totally different.,0,No
371,Are you looking for something more challenging?,That would be great.,1,Yes
372,Are you in a support position?,I am the head of a department.,0,No
373,Are you new to the area?,I've lived here forever.,0,No
374,Do you have kids?,My daughter is five years old.,1,Yes
375,Do you know what you'll do there?,I hope to work with artists.,1,Yes
376,Do you know anyone in the area?,I've met a few co-workers.,1,Yes
377,Are you partying this weekend?,I'm going to go out every night.,1,Yes
378,Did you ever read any books by Robert Ludlum?,I have not heard of Robert Ludlum,0,No
379,Are you interested in calling some Realtors?,That'd be helpful.,1,Yes
380,Do you think you can get a job in New York?,It's a place with a lot of opportunities,1,Yes
381,Are you in-line for a promotion?,I've been here long enough.,1,Yes
382,Heading home?,I am off to the horse track.,0,No
383,Do you want to try something new?,Everything else has gotten stale.,1,Yes
384,Are you looking in the same field?,I still want to work in the same field.,1,Yes
385,Enjoy reading books that make you laugh?,I love it when something makes me chuckle.,1,Yes
386,Are you wanting to move into the capital?,My first choice is Manhattan.,0,No
387,Do you like to run?,I can't stop running.,1,Yes
388,Do you like BBQ?,When it has a robust smoky flavor.,1,Yes
389,Do you want to change before we go out to dinner?,I'm comfortable in what I have on.,0,No
390,Have you discussed buying a flat with your family?,My mom doesn't know yet.,0,No
391,Do you love fast life?,I can handle it OK.,1,Yes
392,Do you read newspapers?,I prefer novels.,0,No
393,Want to eat at a restaurant?,I'd love to go out for Italian.,1,Yes
394,Do you mind hearing music from time to time?,I listen to it all the time.,0,No
395,Does your mom still make those delicious chocolate chip cookies?,She does!,1,Yes
396,Did you get your dream job?,sadly I didn't,0,No
397,Are you ready for some food?,I've been thinking about your secret brownie recipe all day.,1,Yes
398,Would you eat fish?,I'm a vegetarian.,0,No
399,Do you have any children ?,I am kid free at the moment,0,No
401,Do you have your kids this weekend?,They are at their dad's house.,0,No
402,Do you like going to the movies?,I go very rarely.,0,No
403,Do you enjoy Mexican cuisine?,I prefer Asian food.,0,No
405,Have you read Fifty Shades of Gray?,I try to stay away from books that are adapted to movies.,0,No
406,Are you from this city?,I moved here from the counrty,0,No
407,Do you find the weather pleasant?,It is lovely right now,1,Yes
408,Shall we going shopping?,we might as well,1,Yes
409,Do you have a lot of free time on the weekends?,The kids keep me busy.,0,No
410,Do you go to music festivals?,Only when they're local.,1,Yes
411,Do you have a high budget?,I'm trying to cut back on my spending.,0,No
412,Does your job have decent hours?,I pick my hours.,1,Yes
413,Are you watching a movie this weekend?,I probably won't have time to.,0,No
414,Are you in the mood for ramen?,I'd rather have hotpot.,0,No
415,Wanna hang out at the weekend?,I'm going out of town.,0,No
417,Is your department busy this time of year?,There's not much work.,0,No
418,Have you made dinner plans yet?,I have reservations at the new French place.,1,Yes
419,Would hanging out this weekend be something you're into?,I don't think I have time this weekend.,0,No
420,Do you like the rap music genre?,Hip-hop is high art.,1,Yes
421,Do you listen to music while you cook?,I usually watch TV when I cook.,0,No
422,Is your salary okay?,I'm earning enough to scrape by.,1,Yes
423,Have you tried that kind of work before?,I'm a pro at this.,1,Yes
424,Are you living in the city now?,I still need to take a train in from home.,0,No
425,Do you like children books?,I reread all my favorites at Christmas.,1,Yes
426,Can you afford to live in New York?,I need a second job.,0,No
427,Did you have a nice flight?,it was very long,0,No
428,Will you be working full-time?,its part time for now,0,No
429,Ever read any Russian literature?,I don't think so.,0,No
430,Are you a fan of mountain climbing?,I prefer swimming.,0,No
431,Do you like Country side?,The air smells a lot better.,1,Yes
432,Are you single?,I've been married for a few years.,0,No
433,Do you know who Christine Feehan is?,Tell me about her.,0,No
434,Do you want to change before we go out to dinner?,I'll just go as I am,0,No
435,Are you into EDM?,It's not my favorite.,0,No
436,Did you move here recently?,I just bought my place last month.,1,Yes
437,Want to go grab coffee and catch up?,I think I have a little time.,1,Yes
438,Do you like to drink?,I usually have a cocktail on the weekend.,1,Yes
439,Would you live there again if you had the chance?,I miss it very much.,1,Yes
440,"Hey if you're up to it, would you like to hit the gym with me in the morning?",I'm already going to a yoga class.,0,No
441,Do you work long hours?,I generally work 50 hours per week.,1,Yes
442,Have you tried the new restaurant by work?,"I haven't, but I've heard good things.",0,No
444,Have you been to a musical/opera?,"Once, I think.",1,Yes
445,Do you have a lift home?,I was going to call a car.,1,Yes
446,Do you get along with our colleagues?,They're wonderful.,1,Yes
447,Did you ever read Tolstoy in school?,I read Tolstoy at home.,0,No
448,Were you young when you first went to a concert?,I went to Rick Springfield when I was 12.,1,Yes
449,Do you plan on going home?,I have errands to run first.,0,No
450,Do you have house chores to do this weekend?,I've got to tidy up my kitchen this weekend.,1,Yes
451,Do you enjoy being outdoor?,I love to hike and ski.,1,Yes
452,Are you still working as a lawyer?,I'm now a senior partner.,1,Yes
453,Will you be spending Christmas in Calgary?,I'll be Naples.,0,No
454,Do you like crime novels?,I usually read non fiction.,0,No
455,Do you find your coworkers pleasant?,I'd say they are very amicable.,1,Yes
456,Feel like Chinese?,I prefer Italian.,0,No
458,Would you like to learn more about history?,Fiction is more interesting to me.,0,No
459,You have any change of clothes?,I have everything I need in my overnight bag.,1,Yes
460,Is it big?,It's very crowded,1,Yes
461,Are you into music?,I love my music,1,Yes
462,Do you like food with a lot of spices?,"Although flavourful, I often have a bad reaction.",0,No
463,Do you like fantasy books?,When they're set in our world.,1,Yes
464,Did you stop anywhere on the way?,I didn't have time.,0,No
465,Did you marry your high school sweetheart?,I wasn't that fortunate.,0,No
466,Do you find your manager always offended?,They were very difficult to work with.,1,Yes
467,Did you move here because of work?,I got a great job here.,1,Yes
468,Are you getting bored at work?,My job could be more exciting.,1,Yes
469,Do you still like McDonald's?,I gave up junk food.,0,No
470,Do you have pets?,"I love my dog, and my cat equally.",1,Yes
471,Do you like to BBQ?,I'm vegan.,0,No
473,Have you read anything from the NYT bestseller list?,I haven't read anything for a month or so.,0,No
474,Do you not like your boss?,She doesn't like me either.,1,Yes
475,D you have plans for later?,I'm going to help plan a funeral.,1,Yes
476,Do you have a lot of hobbies?,I prefer do stick to one thing I'm good at.,0,No
477,Is it true you got married last year?,I have a  wedding ring to prove it.,1,Yes
478,Do you have to travel far?,It would be a pretty long commute.,1,Yes
479,Is the neighborhood good?,It's upscale with low crime.,1,Yes
480,Have you been downtown to any of the museums?,I'm a member of the art museum.,1,Yes
481,Are you into mystery novels?,If they're not too scary.,1,Yes
482,Are you into dancing?,I love to dance,1,Yes
483,Do you like working with others?,I can deal with anytone.,1,Yes
484,Would you like to meet up with our old friends?,It would be great to catch up with them.,1,Yes
485,Do you enjoy spending time with family on the weekend?,When I am close to them.,1,Yes
486,Did you want to grab a drink at happy hour before heading home?,I think I need to swing by my house first.,1,Yes
487,Do you want to listen to screamo?,I'd rather hear classical music.,0,No
488,Do you spend a lot on food?,We do eat out a lot.,1,Yes
489,Do you have a house?,We are in a 9th floor apartment.,0,No
490,Do you want me to walk you to your car?,If you don't mind.,1,Yes
491,Do you like spice in your food?,It depends on how spicy it is.,1,Yes
492,Are you looking for the same kind of position as you had before?,Only if the pay is better.,1,Yes
