context,utterance,implicature
Do you stand up at work?,We have standing desks now.,1
Are you not happy with you work conditions?,Not really they are quire bad,0
Do you like food trucks?,I think they are great,1
Do you come here often?,It's my favorite cafe.,1
Would you go to a punk rock show?,I'm always looking for cool shows.,1
Do you go to concerts?,I usually just listen to music online.,0
Do you enjoy eating new foods?,I love to try things!,1
Are you planning to drink?,I'd love a mimosa.,1
Do you live in the area?,I am only visiting.,0
Do you like to take walks with your dog?,When we get the chance!,1
Do you play instruments?,I can play almost anything!,1
Billy! Are we still going rollerblading tonight?,we certainly are,1
Have you heard Let it Be?,I can't remember who sings it.,1
Do you enjoy musicals?,They are so annoying to me.,0
Have you flown before on an airplane?,I had to take one on my trip to Paris.,1
"Before we go any further I have to know, do you like lasagna?",Lasagna is on the weekly rotation at our house!,1
Did you want to go out tonight?,I am ready to rock.,1
Have you lived in a flat before?,I've always been in houses.,0
Are you a fan of Chinese food?,I've always preferred Japanese.,0
"I could really go for some BBQ, are you down?",of course I am,1
Do you smoke a lot?,Cigarettes disgust me.,0
Would the job pay better?,I will make at least $10 more per hour,1
Want to exchange numbers and stay in touch?,I would love that.,1
Are you into biking?,I'd rather go jogging.,0
Are you stressed at work?,This week has been very tiring and hard.,1
Do you have a family?,I'm single at the moment.,0
Are you working in an office?,My role is mainly based outdoors.,0
Are you a dessert connoisseur?,I'll order dessert very rarely.,0
Want to try my favorite restaurant ever?,If you like then I want to give it a shot.,1
Do you enjoy living out of town?,I love my small town.,1
Did you transfer for work?,That's one reason.,1
Would you like something hot?,I prefer spicy to hot,0
Are you an avid reader?,I'm not much of a reader at all.,0
Have you been to the movies lately?,The last movie I saw was Thor Ragnarok.,1
Have you ever been to Glastonbury?,It's somewhere I've always wanted to go.,0
Do you like New York?,I've been into that city since the 1980s.,1
Would you say you like Tapas?,I love all Spanish food.,1
Do you like any current artists in the charts?,I'm a fan of the Smokies.,1
Shall we go back to that same deli we tried last week?,Only if you pay this time,1
Do you have any kids?,"Three, and they're all grown.",1
Have you seen the new Netflix series?,I can't afford subscriptions.,0
Are you a dessert connoisseur?,I don't have a sweet tooth.,0
Do you still drink?,I keep sober.,0
Do you like to go to high-end place?,I do like to that,1
Do you enjoy long books?,They wipe me out.,0
Would you like a building with a doorman?,I'd have to have one.,1
Will you need a loan to buy it?,I'll be getting a mortgage.,1
Are you looking at an expensive apartment?,"I'm looking at smaller, more affordable places.",0
Do you like your boss?,I talked to her yesterday and she seems alright.,1
Is renting a flat still an option?,I want to buy a place so I can have pets.,0
Does your family like skiing?,They adore it.,1
Do you want to go sightseeing?,That's on my itinerary.,1
Are your parents still living in the area?,My mum and dad passed away recently.,0
Is Chinese good?,I don't like Chinese.,0
Do you still play the piano?,I gave up playing some time ago.,0
Do you like beets?,I hate them.,0
Do you want large portions?,The more the netter,1
Shall we go for a drink at a bar?,"I'm taking a break from drinking, currently.",0
Do you like kids?,Daycare work is very satisfying.,1
Is your mother still doing well?,She's going strong at 74.,1
Are you heading to work?,I'm heading home.,0
Do you like classical music?,I can appreciate it.,1
Do you like the neighborhood?,It seems a little dangerous.,0
Can you cover my shift tomorrow?,I really would rather have the day off for my anniversary.,0
Do you like movies?,Horror movies are my favorite.,1
Have you moved since we last met?,"I recently moved, last month.",1
Have you heard Let it Be?,"That's a Beatles classic, right?",1
Is shopping up your alley?,I'm a shop-a-holic.,1
Would you like to go see a movie?,Let's do it.,1
Have you ever been here before?,I come every month.,1
Do you want to grab some food?,I am ravenous at present.,1
Will you have to share the flat with anyone?,I would prefer if I didn't have to,1
Are you okay with spicy food?,I react to the smallest amount of spice badly.,0
Did you have a busy day?,"Like the rest of my week, it was far from quiet.",1
Are you still working at the same place?,I am indeed,1
Do your parents still live in the neighborhood?,They moved away a few years ago.,0
Would you like working in a factory?,I could never see myself doing blue collar work.,0
Do you need to get some rest?,I'll just drink some coffee.,0
Are you willing to get a roommate?,Only if I can't afford the mortgage.,1
Do you have any pets,A ferret and some goldfish.,1
Would you like to get a bite to eat before going home?,Let's go to my favorite Chinese place.,1
Do you have a big budget?,I only have $1200 per month to spend.,0
Are you a vegetarian?,I prefer plant based meals.,1
Are you heading to work?,I am heading home,0
Want to get together this weekend?,If you want to go biking with us you can.,1
Do you want something spicy?,That would be great.,1
Do you like movies?,My favorite movies are comedies.,1
Do you like to play a instrument?,I'd love to be better at it.,1
Was the airport crowded?,It was fairly quiet.,0
Did you want to borrow my copy of Shakespeare's Titus Andronicus?,I'd like nothing better.,1
Did you read The Pony of Midnight?,I've never heard of it.,0
Are you entering the christmas parade?,I don't believe so,0
Are you interested in a new industry?,I don't think so,0
Have you read Hunger Games yet?,I've read the entire series of Hunger Games.,1
Have you graduated yet?,Still one year to go.,0
Want to grab a bite to eat?,I just had a snack.,0
Do you enjoy travel?,I like seeing different parts of the country.,1
Have you had sushi before?,A bunch.,1
Are you into romantic novels?,I wouldn't say I am,0
Want to live in a more affordable area of town?,As long as the commute to work is reasonable.,1
Will you be spending Christmas in Calgary?,I can't wait to play in the snow there on Christmas Eve.,1
Are you a music fan?,I love my music,1
Are you interested in politics?,I do not like to get involved,0
Do you prefer a different career?,I'm open to it.,1
Is there any genre that you hate?,I'll read anything if it's well-written.,0
Have you been up to anything new?,I took a floral arranging class last week.,1
Do you enjoy burgers and fries?,I try to eat healthy food.,0
Do you enjoy outdoor activities?,I'd rather stay inside.,0
Would you like a building with a doorman?,I think so.,1
Do you prefer reading nonfiction?,As a nerd it is my preferred type of reading.,1
Want to live in a more affordable area of town?,Safety and convenience are more important to me than the price.,0
Do you not like your boss?,I'm ok with my boss,0
Do you like cookies?,My favorite are peanut butter.,1
Do have family in New York?,I don't know anyone here.,0
Are you interested in history?,I'm not a big fan of non-fiction.,0
Are you a fan of Stephen King?,I never read scary stories.,0
Do you mind having a room mate?,I'd prefer not to have a room mate.,1
Do you have a job you enjoy?,I'm miserable in my career.,0
Would you like to live on a bus line?,Subway would be best.,1
Have you tried that kind of work before?,I have been in this industry before but would like something new,1
Does shopping at the mall in the area appeal to you?,I'm too poor to spend money right now.,0
Are you working in an office?,I work on a rooftop.,0
Is it true you got married last year?,It was last June.,1
Would you like to walk out together?,I need to make a private call.,0
Do you like parks?,Depends on the weather.,1
Have a nice house yet?,I have my dream house.,1
Are you a fan of science fiction?,Only sci-fi written by certain authors.,1
is there an activity you really enjoy doing?\\,Painting and cycling!,1
Is true crime too scary for you?,I find it disturbing but wouldn't say scary,0
Have you gone by to see your old house?,I hardly recognized it when I went by earlier.,1
Do you know how expensive property is in New York?,It's completely outrageous.,1
Are you into graphic novels?,It depends on the subject matter.,1
Do you like the same hobbies from when you were a kid?,Well I still play music.,1
Do you like football?,Only if it's a championship game.,1
Did anyone play an instrument in your household when you were growing up?,My dad played the tuba.,1
Do you sing along to the radio?,When I'm driving alone in the car.,1
Do you like going out?,I get tied of staying in by the end of the week.,1
Are you dating anyone right now?,I've just been dumped.,0
Did you enjoy your time as a bus driver before your current job?,I liked getting to know the kids on my route.,1
Are you excited to start a new job?,"I'm pretty nervous, to be honest.",0
Have you tried the new restaurant around the corner?,It has delicious pasta.,1
Are you currently working?,I actually have two jobs right now.,1
Are you into experimental cuisine?,I love new things.,1
Are you enjoying living here?,"So far, so good.",1
Are you a fan of bars?,I love to drink beer at pubs.,1
Have you eaten?,I ate some fast food along the way.,1
Do you eat here often?,I come here once a week.,1
Would you go to a football game with me?,I can't say I like football much.,0
Do you think the other job has more to offer?,It pays more.,1
Were you able to stop for a break on your way here?,I had to come straight here.,0
Are you going home now?,Ii think I am,1
Is your work physically demanding?,More mentally demanding,0
Do you like Korean food?,If it's cooked right,1
Are you looking to move to Manhattan?,I'm happy in Brooklyn.,0
Did you see the last Avengers movie in theaters?,I hate those movies.,0
Do you know much about this town?,"I don't, so you'll have to show me around.",0
Do you like going to movies?,It's one of my hobbies,1
Do you have any pets?,I plan on adopting a cat.,0
Are you still living in town?,We just moved back.,1
Want to go hunting on the weekend?,I'm not into hunting,0
Is it time for breakfast?,I usually eat breakfast later.,0
Are you going to see family this weekend?,My family lives too far away.,0
Are you not happy with you work conditions?,I don't get paid enough.,1
Do you like parks?,I'm at home in nature,1
Do you have your keys?,I forgot them.,0
Do you work alone?,Being an independent contractor means I collaborate with others but perform my tasks alone.,1
Do you get your books from the library?,"I try, rather than buying them.",1
Are you enjoying the neighborhood?,It's nice and quiet.,1
Could you go for hamburgers?,I'd prefer pizza,0
Are there things you'd prefer not to eat today?,I can eat anything,0
Do you ever go hiking?,I love to feel the ground beneath my feet walking over the mountainous terrain of the fells.,1
Do you live in town?,I moved last year.,1
Do you have a CD collection?,I gave it away.,0
Have you heard the latest Selena Gomez song?,I have better taste than that.,0
Do you like science fiction books?,I'd rather spend time reading poetry.,0
Is your job too far?,The commute isn't bad.,0
Do you have to work a lot of overtime?,Only if I can't get my work done on time.,1
May I get your phone number?,Just reach out to me via Facebook.,0
Do you like Indian music?,It gets me dancing.,1
Do you like ice cream?,I am a big fan of ice cream,1
Do you like wood working?,I love turning the lathe with a piece of wood.,1
Did you get a chance to finish the work emails?,I finished all my tasks,1
Want to read this new crime detective book?,I enjoy a crime book,1
Do you have any plans for the weekend?,All I can think about is watching Netflix in my pajamas.,1
Did you lock the door?,I thought you did.,0
Have you been to a music festival this year?,I'd rather stay home and listen to music on my phone.,0
Will you be working here?,I hope to be,1
Will it be affordable?,The rent and property is very expensive.,0
Have you tried Kayaking?,I  took a guided trip last year.,1
Do you have an food allergies?,You name it!,1
Do you have an interest in movies?,I like action comedies,1
Are you interested in non-fiction books?,I am interested in biographies.,1
Did you come here by car?,I got here on my bike.,0
Do you like going on walks?,I'm always up for some fresh air.,1
Have you gone to any good concerts lately?,The Killers was cool.,1
Do you prefer reading nonfiction?,I do prefer that.,1
Are you into mystery novels?,I am a big fan of those books,1
Are you sure this is what you want to do?,I think I am,1
Do you like Mexican?,When it doesn't have refried beans.,1
Do you have a big budget?,I have a small budget.,0
Do you like Harry Potter?,I don't like fantasy.,0
Did you move here for work?,My new role needed me to be closer.,1
Can you share with me you favorite playlist?,I've never made a playlist.,0
Are you gluten intolerant?,It doesn't affect me.,0
Do you work in the same city?,My commute is all the way across town.,1
Did you think Cinderella was entertaining?,That's not my cup of tea.,0
Are you enjoying the neighborhood?,It seems nice so far,1
Did you learn a instrument as a child?,I never played anything.,0
Are you moving soon?,By the end of the month.,1
Is is close to the Subway station?,Luckily there's a stop right down the street.,1
Have you been working for a long time?,I've been working since I was 18 years old.,1
Do you like trying different cuisines?,When I'm feeling adventurous.,1
Is the flat affordable?,It's decent compared to most of the city.,1
Do you work with data a lot?,that is mainly what I do,1
Is it nearby public transit?,It's within walking distance to the Metro.,1
Do you prefer a quiet setting?,I like a lively atmosphere.,0
Are you into fast food,When it isn't burgers and fries.,1
Have you read any Stephen King novels?,I avoid horror novels.,0
Can you shoot pool?,I'd love to learn.,0
Would you like to get together over the weekend?,Let's watch the game at your place on Sunday.,1
Is it more than a one bedroom?,I think it has 2,1
Would you like to have a coffee together?,I came for coffee and would love some company.,1
Are you into football?,It's too violent.,0
Is there a specific dish that you enjoy?,I have a few I enjoy,1
Is the flat located near your job?,It's miles away.,0
Do you read alot?,I love to turn the pages whenever I can.,1
Does it pay better?,The pay is the same.,0
Want to go and see The Killers tonight?,If they're not sold out.,1
Want to go to Happy Hour?,I could use a drink.,1
Do you still like McDonald's?,Only their shakes.,1
Do you read alot?,I try to read every day,1
Do you mind crowds?,Being around a lot of people makes me anxious.,1
Want to go to Happy Hour?,I could go for a drink.,1
Do you have dietary restrictions?,I try not to eat sugar.,1
Have you heard of any local restaurants?,I found some places to go online.,1
Does your favorite music need to have a good beat to dance too?,Obviously,1
Would you like a building with a doorman?,I probably can't afford that.,0
You finish school?,I eventually got a PhD.,1
Have you been downtown yet?,I've only been uptown.,0
Does music help you relax?,Depends on the kind.,1
Do you work next week?,I will be on holiday for a fortnight.,0
Have you heard any decent rock music lately?,I caught some new stuff on KCRW last week.,1
Would you be interested in cultural events in the area?,It would depend what they are,1
How about some pancakes?,I would love to,1
Is that your car I saw?,I rented a car when I got into town.,0
Does hearing indie artists who might be performing in the area sound cool?,I love supporting indie music.,1
Do you prefer to stay indoors during the weekend?,I go outside as much as I can.,0
Do you still live in the same house?,I moved ages ago,0
Are you tired of working here?,I need something new.,1
Did you buy any sci-fi books recently?,I stick with the oldies.,0
Are you going to the supermarket ?,Just for some yogurt.,1
Do you enjoy eating spicy food?,Spicy is my middle name.,1
Have you seen the newest releases on Netflix?,I am the only person I know without a Netflix account.,0
Are you interested in a country concert?,That doesn't sound like my idea of a good time.,0
Will you have to do any renovations?,It's move-in ready.,0
Have you checked the crime rate in that area?,It's not a very safe place.,1
Did you just move to this area?,I'm thinking about moving here.,0
How about visiting more often?,If I can swing airfare I'll be here as often as you'll have me.,1
Are you interested in cars?,I love cars,1
Do you want to go out to eat?,I'm really hungry.,1
Still working at Macy's?,I work for myself now.,0
Do you want to go to the movies this weekend?,As long as we can see a horror movie.,1
Is this a profession you want to stay in?,I enjoy my profession,1
Do you like beets?,"Actually, they're my favourite vegetable to put in my salads!",1
Have you enjoy cooking?,I do like to cook,1
Do you want to go see a movie tonight?,I'm down.,1
Want to go the cinema this weekend to see the latest blockbuster ?,I'd rather just stay in and rent an older movie.,0
Did you serve in the military?,I did two tours.,1
Have you ever rafted the Ocoee?,I'm afraid of water because I can't swim.,0
Do you have cash saved up for a down payment?,I have a good-size nest egg.,1
Are you making more than 80 thousand dollars a year?,"Almost, 75 thousand.",0
Do you paint?,I like using watercolors.,1
Are you ready for some food?,I ate at the airport.,0
Have you been to New York?,I have visited before,1
Do you think it is worth the expense of going out to the movies?,I prefer watching at home.,0
Does a place that\'s cozy sound good?,I love a cozy ambiance.,1
Want to read this new crime detective book?,I have too many books going already.,0
Shall we have dinner?,I think we should,1
Can you still do that funny thing with your tongue?,My tongue is too old now.,0
have you have great BBQ before?,The best I've had was in Memphis!,1
Is your family good and well?,My family hasn't been better.,1
Do you like alcohol or wine with dinner?,I prefer a glass of red wine.,1
Do you enjoy sports events?,"I'm partial to baseball, but I don't mind football too.",1
Are you from here?,I'm from the other side of the country.,0
Will a good meal be a good idea?,"That sounds good, I am pretty hungry.",1
Does hearing indie artists who might be performing in the area sound cool?,You know I like interesting musicians.,1
Are you going to be the boss?,That will be my literal title.,1
Are you considering a career change?,I believe I am qualified for a wide range of jobs.,1
Did you go to university after school ?,I got my master's.,1
Are you confident you can keep yourself safe in a big city?,I would say so,1
Do you like movies?,I watch every one I can.,1
Is it more in line with your skill set?,My skills will be better used at a new job.,1
Are you from somewhere near where you live now?,I grew up outside the country.,0
Have you been to a musical/opera?,I wish I had,0
Have you been keeping well?,"I've been ill recently, but I'm getting better.",0
Do you listen to the radio a lot?,listen all the time,1
Do you feel like going for a long walk tomorrow?,As long as it doesn't rain.,1
Want to grab a coffee/drink?,I'm free right now.,1
Would you eat fish?,Salmon is my favorite thing to eat.,1
Your kids didn't come with you this time?,They had a campout already planned.,0
Have you played any sports?,Only in my neighborhood.,1
Do you like reading scary books?,I prefer sci-fi books,0
Are you worried about the cost?,I already know it'll be pricey.,0
Is renting a flat still an option?,I think renting is a waste of money.,0
Are you the first owners of this home?,We bought it from another couple.,0
Wanna hang out at the weekend?,We're going out of town.,0
Have you ever been to a symphony orchestra concert?,I was at one yesterday.,1
Did you encounter a lot of traffic coming here?,The roads were empty.,0
Will you be participating in any sporting activities on Saturday ?,I'm only seeing relatives on Sunday.,0
Do you still talk to our friend Katie?,She was in my wedding party.,1
Do you want to see a movie later?,"I'm too tired tonight, maybe another time.",0
Have you ever tried vegan cuisine?,I've never ventured into that territory.,0
Have you set your budget for the purchase?,We've got a million dollars to blow.,1
Do you like fantasy books?,Only when their plot is good.,1
Will you be driving?,I'm catching the late bus.,0
Would you like to go to the movies tonight?,Maybe if I get a second wind.,1
Are you originally from this town?,I was born a thousand miles away.,0
Do you want to have a BBQ this evening?,We have dinner reservations.,0
Are you satisfied with how things have turned out?,Wouldn't change a thing.,1
Do you like the changes around town?,The new bus system is great.,1
Are you willing to do any contract work?,If the pay is high enough.,1
Do you still live with your parents?,I moved out after high school.,0
Do you like cycling?,I biked over 500 miles last year.,1
Would you like to read a book that could make you cry?,I'd rather read something that makes me happy.,0
Do you already have a mortgage arranged?,We are still negotiating that.,0
Have you eaten anything great last week?,The Brazilian BBQ was fantastic.,1
Have you read the latest Stephen King book?,I have,1
Are you allergic to any foods?,I can't handle dairy.,1
Are you married?,I'm single.,0
Were you young when you first went to a concert?,I was quite young,1
Have you checked the crime rate in that area?,It has a low crime rate,1
Did you transfer for work?,I just love the neighborhood.,0
Can I help you with your stuff?,I only have this one bag.,0
Have you tried Asian food before?,I've been avoiding it all my life.,0
Is true crime too scary for you?,I do find it too scary.,1
Would you enjoy sightseeing downtown?,I want to see all the highlights.,1
Are you craving any specific flavors?,I'm open to all,0
Did you enjoy the all you can eat food variety we had last week?,I would like to do that again.,1
Do you still sleep with the lights on?,Only a night light.,1
Did you get your dream job?,I;m working in a different field for the time being.,0
Do you still live in the neighborhood?,I am only visiting.,0
Does your house have a swimming pool?,That's the reason we chose it.,1
Do you want something sweet?,"The sweeter, the better.",1
Have you gone by to see your old house?,I can't stand the thought of seeing another family there.,0
Would you consider somewhere cheaper?,I really have my heart set on New York.,0
Are you into sight-seeing?,I'd be happy to see everything.,1
Did you find that you often used public transportation?,I haven't a car so will have to use taxis and trains.,1
Is your company private?,We're hoping to go public someday.,1
Are you ready to go out for dinner?,I'm starving.,1
Do you like reading fictional?,Fiction is my favourite,1
Do you still play piano?,I only play from time to time.,1
Did you bring comfy clothes?,I'm ready for anything.,1
Do you like Hip Hop music?,"I like some of the more recent trends, but can't stand the rap of the '90s.",1
Are you getting bored at work?,I need something new to do.,1
Have you been downtown yet?,I'd rather stick around here.,0
Are you going to the high school reunion in June?,"I can't, I have a wedding to attend.",0
Would you like working in a factory?,I'm not a fan of monotony.,0
Do you want to live in a quiet neighborhood?,I would prefer a vibrant quarter of the city.,0
Do you go to movies for the weekends?,When my boyfriend can come with me.,1
Do you like scary contents?,I usually avoid if I can,0
Are you into biographies?,On the occasion.,1
Do you enjoy Italian cuisine?,It's my favorite on Valentine's Day.,1
Do you want to walk to the bus stop together?,That would be nice.,1
Do you have a house?,I have a two story house,1
Fancy a bite to eat at the Indian restaurant up the road ?,If we can share our entrees.,1
Was your trip good?,It was a rainy drive.,0
Have you ever been to a symphony orchestra concert?,I used to perform in our high school's symphony.,1
Do you have five years of experience?,Only three.,0
Would you eat Mediterranean food?,I hear it's the best diet for you.,1
Do you like Italian food?,"Oh, you have to try my pasta sauce, I have been perfecting it for years.",1
Are you new in the neighborhood?,We've been here 2 years now.,0
Would you like to learn cooking recipes?,I am always wanting to learn,1
Do you like crime thriller books?,Only if it's a Grisham novel.,1
Do you prefer working remotely?,I'm lucky I can usually telecommute.,1
Are you a manager of people?,I've never managed anyone.,0
Are you doing okay?,"I'm all right, thanks.",1
Did you bring a warm coat?,I brought a couple with me,1
Can you see yourself living in a condo?,I can imagine myself in a condo.,1
Want to go hunting on the weekend?,I'm against murdering things for sport.,0
Wanna eat some burgers?,Depends where they are from.,1
Are you into hip hop?,I like a lot of hip hop songs.,1
Are the two of you dating now?,We've gone out a few times.,1
Were you young when you first went to a concert?,I was about 12,1
Will you still work in town at this new job?,I might have to relocate.,0
Have you heard the latest Selena Gomez song?,I thought it was pretty good.,1
Are you happy at work?,I am not a ray of sunshine while working.,0
Do you have any weekend plans?,We have the kids dance recital.,1
Do you have plans this weekend?,I am booked right up.,1
Do you find it too far to commute?,It was a long way,1
Do you feel passionately about your position or your industry?,I always love the industry I work in.,1
Will your payments be about the same as what you pay for rent right now?,I'll have more money in my pocket.,0
Want to grab drinks tonight?,Shall we meet in the Red Lion ?,1
Do you like working nights?,I never work nights,0
Can you still do that funny thing with your tongue?,I can indeed.,1
Do you eat out for the weekends?,It depends on whether I have any spare cash.,1
Did you have a pleasant journey?,It was awful.,0
Did you enjoy reading the last Harry Potter book ?,I didn't read the last Harry Potter book.,0
Are you from Nepal?,My mother is.,0
Did you finish your big project?,I'll finish it Monday.,0
Have you ever tried a job outdoors?,I like working in an office.,0
Do you enjoy the summer weather?,It's too hot.,0
Do you like movies?,Rom coms are great.,1
Can you handle really spicy food?,If it's too hot I'll get sick.,0
Do you like Michael Buble?,Michael's music is not my speed.,0
Do you have a family?,We have 3 kids.,1
Is your job something you enjoy?,I look forward to work everyday.,1
Do you do your job remotely?,I'm in an office every day.,0
Do you like vegan food?,If it tastes like the real thing.,1
Are you into museums?,When I'm travelling I like to visit them.,1
Did you get to see the listing for the book fair?,It's a great list!,1
Would  you  like to see the sights?,I would love to,1
Want to go downtown?,we might as well,1
Want to be your own boss?,I like working on a team.,0
Do you want to go to the mall?,I do have to pick up some new shoes.,1
Is that big project you were working on done?,it is nearly finished,0
Heading home?,I will be soon,1
Have you been to Torchys?,I was just there last weekend.,1
Will you be decorating for the holidays?,I'm not going to bother this holiday.,0
Can you see Times Square?,I have never seen it,0
Do you like meat?,I can eat anything,1
Do you have experience managing others in your current job?,I don't have any managerial experience.,0
Have you ever read The Education?,I haven't heard of it.,0
Do you think you'll like it there?,That depends on what the rest of the team are like.,1
Have you been trying to eat healthier?,Who isn't these days?,1
Shall I book a table at my favourite restaurant tomorrow night?,Only if I can join you.,1
Have you read any books by Terry Pratchett?,I don't know that writer.,0
Have you ever played guitar in a band on stage ?,I played the drums on stage.,0
Do you have children,I have 6 kids.,1
Do you have to do heavy-lifting?,I'll get to supervise a team of three.,0
Would you be willing to deal with a staff that's not super polite?,If the food is good.,1
Are you looking for a novel?,I've already got one I'm reading.,0
Was your job stressful?,It's too much for me.,1
Did you stay here the whole time?,My job kept me on the move.,0
Is there a lot of work you have to take home?,It's manageable.,1
Is a basement flat okay?,I'd prefer the penthouse.,0
How about a game of cards?,I would enjoy that,1
Are you a fan of going to the cinema?,Depends on the movie,1
Are you concerned about your salary?,I would say it is fine as it is,0
Are you into books?,I read a lot of sci-fi novels,1
Do you like the neighborhood?,Living here is so delightful.,1
Has he proposed yet?,He said he's going to when I get home.,0
Are you wanting creative fulfillment in your work?,I need to explore my creative side.,1
Do you enjoy reading nonfiction?,I stick to fiction books,0
Do you mind taking the subway?,I love public transit.,0
Do you eat organic foods?,I prefer only locally grown and organic.,1
Do you happen to enjoy war history or global history?,It can be fascinating.,1
Did you enjoy the train ride up here?,It was hectic.,0
have you Googled any places to go?,I was going to do that later,0
Would you prefer cakes or pies?,Sugar gives me a headache.,1
Have you been to warped tour?,I like country music.,0
Are you into the classics?,Only some of them.,1
Do you like to go to the movies?,If the film is good I do,1
Do you enjoy lakes and beaches?,If they are not too crowded.,1
Want to go see some live music with me tonight?,I need to go to bed early.,0
Are you still living in town?,I moved a long time ago,0
Are you okay with spice?,Spice hurts my tongue.,0
Do you have management experience?,This would be my first time working as manager.,0
Are you a fan of eating out?,If I can afford it.,1
Does it have a good view?,It's the best view in the city.,1
Are you tired?,I am quite tired right now,1
Will you be in tomorrow?,I am off this weekend,0
Is it close to the subway?,It's about a five-minute walk from the subway.,1
How about trying that new Thai place down the road?,I am so hungry that I could eat anything.,1
Ever listen to rap?,Childish Gambino's my favorite.,1
Do your parents live in town?,They are the reason I moved here.,1
Will you have a roommate?,If it's the right person.,1
Shall we go back to that same deli we tried last week?,Let's try something else.,0
Would you go to a punk rock show?,Only if I already knew the band.,1
Do you have a dog?,I'm allergic to dogs.,0
Would you be moving in by yourself?,I'll have some help from friends.,0
Have you been living here for a long time?,I only just arrived.,0
Are you planning on living here for a long time?,We are thinking about a move.,0
Did you read Lord of the Rings?,I have read them all,1
Are you comfortable with a busy city?,I don't like all the noise,0
Do you go by your first name?,I prefer to be called by my nickname.,0
Do you have a laptop computer?,Luckily I have two.,1
Are you heading home?,I need to go grocery shopping first.,0
Have you been downtown yet?,I practically live there!,1
Do you enjoy nonfiction content?,I like fiction content a lot more,0
Do you like the outdoors?,I prefer to be outside over being inside anytime.,1
Do you want to have dinner tonight?,I can go if we're home early.,1
